Date	County	Rooms	Rooms Occupied	Trailers Requested	Trailers Delivered	Donated Trailers Delivered
4/22/2020	Modoc County					
4/22/2020	Mono County	48				
4/22/2020	Monterey County	142		108	15	
4/22/2020	Napa County	104	48	18		
4/22/2020	Nevada County	27				
4/22/2020	Orange County	276	31	78	78	
4/22/2020	Placer County	32	32	12		
4/22/2020	Plumas County					
4/22/2020	Riverside County	422	303	15	15	
4/22/2020	Sacramento County	316	63	63	63	
4/22/2020	San Benito County	67	61			
4/22/2020	San Bernardino County	50	37	20		20
4/22/2020	San Diego County	2,029	409	44	44	
4/22/2020	San Francisco County	1,328	729			
4/22/2020	San Joaquin County					
4/22/2020	San Luis Obispo County	154		14	14	
4/22/2020	San Mateo County	134	85			
4/22/2020	Santa Barbara County	85				
4/22/2020	Santa Clara County	575	230	105	105	
4/22/2020	Santa Cruz County	27	20	35		
4/22/2020	Shasta County	20				
4/22/2020	Sierra County					
4/22/2020	Siskiyou County					
4/22/2020	Solano County					
4/22/2020	Sonoma County	45	45			
4/22/2020	Stanislaus County	121	19			
4/22/2020	Sutter County	16	16			
4/22/2020	Tehama County					
4/22/2020	Trinity County					
4/22/2020	Tulare County	56				
4/22/2020	Tuolumne County					
4/22/2020	Ventura County	398	275			
4/22/2020	Yolo County	246	206			
4/22/2020	Yuba County	41	18			
4/23/2020	Alameda County	403	346	91	91	
4/23/2020	Alpine County					
4/23/2020	Amador County					
4/23/2020	Butte County	87	87			
4/23/2020	Calaveras County	75	20			
4/23/2020	Colusa County					
4/23/2020	Contra Costa County	340	129			
4/23/2020	Del Norte County					
4/23/2020	El Dorado County	26				
4/23/2020	Fresno County	305	250	28	28	
4/23/2020	Glenn County					
4/23/2020	Humboldt County	44	11	15		
4/23/2020	Imperial County	36		37		
4/23/2020	Inyo County					
4/23/2020	Kern County			15	15	
4/23/2020	Kings County					
4/23/2020	Lake County	15				
4/23/2020	Lassen County					
4/23/2020	Los Angeles County	3,292	1,054	658	649	
4/23/2020	Madera County					
4/23/2020	Marin County	132	96	44		
4/23/2020	Mariposa County	44	12			
4/23/2020	Mendocino County	146	107			
4/23/2020	Merced County					
4/23/2020	Modoc County					
4/23/2020	Mono County	48				
4/23/2020	Monterey County	142		108	15	
4/23/2020	Napa County	104	48	18		
4/23/2020	Nevada County	27				
4/23/2020	Orange County	275	81	78	78	
4/23/2020	Placer County	32	32	12		
4/23/2020	Plumas County					
4/23/2020	Riverside County	422	303	15	15	
4/23/2020	Sacramento County	316	63	63	63	
4/23/2020	San Benito County	67	40			
4/23/2020	San Bernardino County	50	37	20		20
4/23/2020	San Diego County	2,029	409	44	44	
4/23/2020	San Francisco County	1,328	809	91	59	
4/23/2020	San Joaquin County					
4/23/2020	San Luis Obispo County	154		14	14	
4/23/2020	San Mateo County	136	92			
4/23/2020	Santa Barbara County	98	34			
4/23/2020	Santa Clara County	615	243	105	105	
4/23/2020	Santa Cruz County	27	19	35		
4/23/2020	Shasta County	20				
4/23/2020	Sierra County					
4/23/2020	Siskiyou County					
4/23/2020	Solano County					
4/23/2020	Sonoma County	45	45			
4/23/2020	Stanislaus County	121	19			
4/23/2020	Sutter County	16	16			
4/23/2020	Tehama County					
4/23/2020	Trinity County					
4/23/2020	Tulare County	56				
4/23/2020	Tuolumne County					
4/23/2020	Ventura County	388	258			
4/23/2020	Yolo County	246	212			
4/23/2020	Yuba County	30	17			
4/24/2020	Alameda County	385	344	91	91	
4/24/2020	Alpine County					
4/24/2020	Amador County					
4/24/2020	Butte County	89	89			
4/24/2020	Calaveras County	75	20			
4/24/2020	Colusa County					
4/24/2020	Contra Costa County	340	129			
4/24/2020	Del Norte County					
4/24/2020	El Dorado County	26				
4/24/2020	Fresno County	305	250	28	28	
4/24/2020	Glenn County					
4/24/2020	Humboldt County	44	11	15		
4/24/2020	Imperial County	36		37		
4/24/2020	Inyo County					
4/24/2020	Kern County			15	15	
4/24/2020	Kings County					
4/24/2020	Lake County	15				
4/24/2020	Lassen County					
4/24/2020	Los Angeles County	3,292	1,054	658	649	
4/24/2020	Madera County	20	20			
4/24/2020	Marin County	132	96	44		
4/24/2020	Mariposa County	44	13			
4/24/2020	Mendocino County	149	110			
4/24/2020	Merced County	85	34			
4/24/2020	Modoc County					
4/24/2020	Mono County	48				
4/24/2020	Monterey County	142		108	15	
4/24/2020	Napa County	104	52	18		
4/24/2020	Nevada County	50	16			
4/24/2020	Orange County	275	86	78	78	
4/24/2020	Placer County	32	32	12		
4/24/2020	Plumas County					
4/24/2020	Riverside County	422	303	15	15	
4/24/2020	Sacramento County	276	105	63	63	
4/24/2020	San Benito County	67	43			
4/24/2020	San Bernardino County	50	37	20		20
4/24/2020	San Diego County	2,029	409	44	44	
4/24/2020	San Francisco County	1,434	864	91	91	
4/24/2020	San Joaquin County					
4/24/2020	San Luis Obispo County	155		14	14	
4/24/2020	San Mateo County	139	100			
4/24/2020	Santa Barbara County	98	37			
4/24/2020	Santa Clara County	660	243	105	105	
4/24/2020	Santa Cruz County	27	20	35		
4/24/2020	Shasta County	20				
4/24/2020	Sierra County					
4/24/2020	Siskiyou County					
4/24/2020	Solano County					
4/24/2020	Sonoma County	45	45			
4/24/2020	Stanislaus County	123	52			
4/24/2020	Sutter County	16	16			
4/24/2020	Tehama County					
4/24/2020	Trinity County					
4/24/2020	Tulare County	56				
4/24/2020	Tuolumne County					
4/24/2020	Ventura County	388	266			
4/24/2020	Yolo County	246	212			
4/24/2020	Yuba County	30	17			
4/25/2020	Alameda County	385	344	91	91	
4/25/2020	Alpine County					
4/25/2020	Amador County					
4/25/2020	Butte County	89	89			
4/25/2020	Calaveras County	73	25			
4/25/2020	Colusa County					
4/25/2020	Contra Costa County	340	129			
4/25/2020	Del Norte County					
4/25/2020	El Dorado County	26				
4/25/2020	Fresno County	305	250	28	28	
